trat;luz;temp;sub;umidade;rep;germ;plant;plantm;rm;plantanorm
86;branca;20-30;RP;intermed;1;7;2;3;5;0
86;branca;20-30;RP;intermed;2;3;3;7;0;0
86;branca;20-30;RP;intermed;3;6;2;4;4;0
87;branca;20-30;RP;umido;1;8;6;2;2;0
87;branca;20-30;RP;umido;2;7;7;3;0;0
87;branca;20-30;RP;umido;3;8;8;2;0;0
88;branca;20-30;SP;seco;1;8;7;2;1;0
88;branca;20-30;SP;seco;2;7;3;3;4;0
88;branca;20-30;SP;seco;3;7;7;3;0;0
89;branca;20-30;SP;intermed;1;4;3;6;1;0
89;branca;20-30;SP;intermed;2;8;7;2;1;0
89;branca;20-30;SP;intermed;3;6;6;4;0;0
90;branca;20-30;SP;umido;1;5;5;5;0;0
90;branca;20-30;SP;umido;2;9;9;1;0;0
90;branca;20-30;SP;umido;3;5;5;5;0;0
91;branca;20-30;EP;seco;1;8;6;2;2;0
91;branca;20-30;EP;seco;2;8;8;2;0;0
91;branca;20-30;EP;seco;3;7;7;3;0;0
92;branca;20-30;EP;intermed;1;4;4;6;0;0
92;branca;20-30;EP;intermed;2;10;9;0;1;0
92;branca;20-30;EP;intermed;3;9;6;1;3;0
93;branca;20-30;EP;umido;1;8;8;2;0;0
93;branca;20-30;EP;umido;2;9;9;1;0;0
93;branca;20-30;EP;umido;3;7;6;3;1;0
94;branca;20-30;SV;seco;1;6;1;4;5;0
94;branca;20-30;SV;seco;2;8;8;2;0;0
94;branca;20-30;SV;seco;3;9;9;1;0;0
95;branca;20-30;SV;intermed;1;4;4;6;0;0
95;branca;20-30;SV;intermed;2;5;5;5;0;0
95;branca;20-30;SV;intermed;3;7;6;3;1;0
96;branca;20-30;SV;umido;1;6;6;4;0;0
96;branca;20-30;SV;umido;2;4;4;6;0;0
96;branca;20-30;SV;umido;3;5;2;5;3;0
97;branca;20-30;EV;seco;1;8;8;2;0;0
97;branca;20-30;EV;seco;2;8;8;2;0;0
97;branca;20-30;EV;seco;3;7;7;3;0;0
98;branca;20-30;EV;intermed;1;9;9;1;0;0
98;branca;20-30;EV;intermed;2;9;6;1;3;0
98;branca;20-30;EV;intermed;3;3;3;7;0;0
99;branca;20-30;EV;umido;1;9;9;1;0;0
99;branca;20-30;EV;umido;2;3;3;7;0;0
99;branca;20-30;EV;umido;3;8;6;2;1;1
100;branca;20-30;SA;seco;1;8;1;2;7;0
100;branca;20-30;SA;seco;2;4;4;6;0;0
100;branca;20-30;SA;seco;3;7;6;3;1;0
101;branca;20-30;SA;intermed;1;8;1;2;7;0
101;branca;20-30;SA;intermed;2;4;3;6;1;0
101;branca;20-30;SA;intermed;3;6;3;4;3;0
102;branca;20-30;SA;umido;1;6;3;4;3;0
102;branca;20-30;SA;umido;2;7;4;3;3;0
102;branca;20-30;SA;umido;3;5;1;5;4;0
103;branca;20-30;EA;seco;1;5;1;5;4;0
103;branca;20-30;EA;seco;2;7;3;3;4;0
103;branca;20-30;EA;seco;3;3;2;7;1;0
104;branca;20-30;EA;intermed;1;6;4;4;2;0
104;branca;20-30;EA;intermed;2;6;6;4;0;0
104;branca;20-30;EA;intermed;3;2;1;8;1;0
105;branca;20-30;EA;umido;1;5;2;5;3;0
105;branca;20-30;EA;umido;2;4;4;6;0;0
105;branca;20-30;EA;umido;3;3;3;7;0;0
106;escuro;20;RP;seco;1;3;0;7;3;0
106;escuro;20;RP;seco;2;4;0;6;4;0
106;escuro;20;RP;seco;3;6;0;4;6;0
107;escuro;20;RP;intermed;1;7;7;3;0;0
107;escuro;20;RP;intermed;2;8;8;2;0;0
107;escuro;20;RP;intermed;3;6;6;4;0;0
108;escuro;20;RP;umido;1;6;6;4;0;0
108;escuro;20;RP;umido;2;7;7;3;0;0
108;escuro;20;RP;umido;3;7;7;3;0;0
109;escuro;20;SP;seco;1;4;4;6;0;0
109;escuro;20;SP;seco;2;4;4;6;0;0
109;escuro;20;SP;seco;3;4;4;6;0;0
110;escuro;20;SP;intermed;1;3;3;7;0;0
110;escuro;20;SP;intermed;2;0;0;10;0;0
110;escuro;20;SP;intermed;3;0;0;10;0;0
111;escuro;20;SP;umido;1;6;6;4;0;0
111;escuro;20;SP;umido;2;6;6;4;0;0
111;escuro;20;SP;umido;3;6;6;4;0;0
112;escuro;20;EP;seco;1;4;3;6;1;0
112;escuro;20;EP;seco;2;3;3;7;0;0
112;escuro;20;EP;seco;3;3;2;7;1;0
113;escuro;20;EP;intermed;1;3;3;7;0;0
113;escuro;20;EP;intermed;2;4;4;6;0;0
113;escuro;20;EP;intermed;3;3;3;7;0;0
114;escuro;20;EP;umido;1;3;3;7;0;0
114;escuro;20;EP;umido;2;4;4;6;0;0
